name,city,phone number,fees,email,experience,Information
Rajesh Sharma,Delhi,9876543210,1000,rajesh.sharma@email.com,15 years,"Handled numerous corporate law cases, including mergers and acquisitions, contract drafting, and intellectual property matters. Known for a strong understanding of business law."
Priya Verma,Mumbai,8765432109,800,priya.verma@email.com,8 years,"Specializes in family law, dealing with divorce, child custody, and property disputes. Offers empathetic and practical legal advice."
Amit Patel,Ahmedabad,9765432108,1200,amit.patel@email.com,20 years,"Extensive experience in civil litigation, representing clients in property disputes, recovery suits, and contractual breaches. A seasoned courtroom lawyer."
Sneha Gupta,Bangalore,7654321098,900,sneha.gupta@email.com,10 years,"Focuses on criminal law, handling cases related to white-collar crimes, fraud, and general criminal defense. Provides thorough case preparation and strong representation."
Kunal Singh,Chennai,6543210987,1100,kunal.singh@email.com,12 years,"Expertise in property law, including title verification, real estate transactions, and land disputes. Offers comprehensive legal solutions for property-related issues."
Deepika Yadav,Kolkata,5432109876,700,deepika.yadav@email.com,5 years,"Practices in labour law, advising both employers and employees on matters such as employment contracts, workplace disputes, and compliance. Committed to fair labour practices."
Vikram Joshi,Hyderabad,4321098765,1300,vikram.joshi@email.com,25 years,"A leading expert in intellectual property law, specializing in patents, trademarks, and copyrights. Represents clients in infringement cases and provides strategic IP advice."
Shalini Nair,Pune,3210987654,850,shalini.nair@email.com,9 years,"Specializes in banking and finance law, advising on loan agreements, financial regulations, and debt recovery. Offers practical and effective legal strategies for financial institutions and individuals."
Gaurav Kumar,Jaipur,2109876543,950,gaurav.kumar@email.com,11 years,"Deals with real estate law, including property development, leasing, and investment. Provides comprehensive legal support for all aspects of real estate."
Anjali Reddy,Lucknow,1098765432,750,anjali.reddy@email.com,7 years,"Practices in divorce law, handling contested and uncontested divorces, alimony, and matrimonial disputes. Offers sensitive and solution-oriented legal assistance."
Suresh Menon,Kochi,9988776655,1050,suresh.menon@email.com,16 years,"Experienced in arbitration law, representing clients in domestic and international arbitration proceedings. Known for strong negotiation and dispute resolution skills."
Meera Desai,Surat,8877665544,820,meera.desai@email.com,6 years,"Focuses on consumer law, handling cases related to unfair trade practices, product liability, and consumer rights. Advocates for consumer protection."
Rohan Verma,Nagpur,7766554433,1150,rohan.verma@email.com,18 years,"Expertise in tax law, advising on income tax, GST, and corporate tax matters. Represents clients in tax assessments and appeals."
Swati Patel,Vadodara,6655443322,920,swati.patel@email.com,10 years,"Specializes in immigration law, assisting clients with visa applications, immigration appeals, and citizenship matters. Provides guidance on complex immigration procedures."
Aryan Singh,Indore,5544332211,780,aryan.singh@email.com,4 years,"Practices in cyber law, dealing with online fraud, data protection, and IT-related legal issues. Offers advice on digital security and cybercrime."
Neha Sharma,Bhopal,4433221100,1080,neha.sharma@email.com,13 years,"Experienced in constitutional law, handling writ petitions and cases involving fundamental rights. Provides strong legal representation in constitutional matters."
Rahul Gupta,Kanpur,3322110099,880,rahul.gupta@email.com,9 years,"Focuses on commercial litigation, representing businesses in contractual disputes, partnership issues, and commercial fraud. Offers strategic litigation advice."
Pooja Yadav,Coimbatore,2211009988,980,pooja.yadav@email.com,12 years,"Specializes in media and entertainment law, advising on film production, copyright, and media regulations. Provides legal support to artists and media companies."
Vivek Joshi,Visakhapatnam,1100998877,720,vivek.joshi@email.com,6 years,"Practices in environmental law, dealing with pollution control, environmental clearances, and conservation issues. Advocates for environmental protection and sustainability."
Shreya Nair,Thiruvananthapuram,0099887766,1020,shreya.nair@email.com,14 years,"Expertise in shipping and maritime law, advising on shipping contracts, marine insurance, and maritime disputes. Represents clients in the shipping industry."
Karan Singh,Amritsar,9865432107,830,karan.singh@email.com,7 years,"Specializes in banking law, including loan documentation, recovery proceedings, and banking regulations. Provides legal assistance to banks and financial institutions."
Divya Verma,Allahabad,8754321096,1180,divya.verma@email.com,19 years,"Experienced in corporate governance, advising companies on regulatory compliance, board matters, and shareholder agreements. Promotes ethical and effective corporate practices."
Manish Patel,Rajkot,9654321085,910,manish.patel@email.com,10 years,"Focuses on mergers and acquisitions, advising on deal structuring, due diligence, and transaction documentation. Facilitates smooth and successful M&A processes."
Ritu Gupta,Varanasi,7543210974,790,ritu.gupta@email.com,5 years,"Practices in human rights law, advocating for civil liberties and representing clients in human rights violations cases. Committed to social justice."
Siddharth Singh,Patna,6432109863,1250,siddharth.singh@email.com,22 years,"Extensive experience in Supreme Court litigation, handling appeals and constitutional matters before the highest court. A highly respected advocate."
Ananya Yadav,Guwahati,5321098752,860,ananya.yadav@email.com,8 years,"Specializes in intellectual property rights, including trademark registration, patent filing, and copyright protection. Helps clients secure and enforce their IP assets."
Rohit Joshi,Bhubaneswar,4210987641,960,rohit.joshi@email.com,11 years,"Expertise in energy law, advising on regulatory frameworks, project development, and energy contracts. Provides legal guidance in the power and renewable energy sectors."
Priya Nair,Chandigarh,3109876530,810,priya.nair@email.com,6 years,"Practices in service law, dealing with employment-related disputes for government and private sector employees. Offers advice on service rules and regulations."
Sumit Kumar,Ghaziabad,2098765429,1120,sumit.kumar@email.com,17 years,"Experienced in telecommunications law, advising on licensing, regulatory compliance, and telecom disputes. Represents clients in the telecom industry."
Aisha Khan,Srinagar,1987654328,930,aisha.khan@email.com,10 years,"Focuses on criminal procedure, providing legal assistance in investigations, trials, and appeals in criminal cases. Ensures due process and fair representation."
Arjun Reddy,Nashik,9753108642,760,arjun.reddy@email.com,7 years,"Specializes in labour and employment law, advising on employment contracts, industrial disputes, and labour welfare. Represents both employers and employees."
Kavita Sharma,Meerut,8642097531,1090,kavita.sharma@email.com,13 years,"Expertise in contract law, drafting and reviewing various types of contracts, and handling breach of contract disputes. Ensures legally sound agreements."
Vineet Patel,Raipur,7531986420,890,vineet.patel@email.com,9 years,"Practices in mining law, advising on mining leases, environmental regulations, and mineral rights. Provides legal support to the mining industry."
Geeta Gupta,Jodhpur,6420875319,990,geeta.gupta@email.com,12 years,"Experienced in banking regulations, advising financial institutions on compliance, lending practices, and regulatory matters. Offers expertise in the banking sector."
